id,name,latitude,longitude,size_bucket,Adress,Postort
156,Utsiktens BK,57.6632505,11.9105337,small,Musikvägen 55,VÄSTRA FRÖLUNDA
157,Utsiktens Elitfotboll AB,57.6632505,11.9105337,medium,Musikvägen 55,Västra Frölunda
158,Valhall BK,57.8049311,11.981176,medium,Skolvägen 3,Ytterby
159,Valhalla FC,57.7346765,11.9151525,small,Tryggvegatan 6,Göteborg 
160,Vatra KIF,57.7978917,12.0566193,medium,Fjäderharvsgatan 24,Angered
161,WIP Idrottsförening,57.7232312,11.7706393,small,Kvarnkullevägen 2D,Torslanda
162,Vitalis Göteborg FF,57.679849108333336,12.000955608333332,medium,Ebbe Lieberathsgatan 31C,Göteborg
163,Västkurd BK,57.7251754,11.8959354,medium,Vintervädersgatan 15,Göteborg
164,Västra Frölunda IF,57.6429523,11.9197916,medium,Klubbvägen 19,VÄSTRA FRÖLUNDA
165,Älvängens IK,57.610585750000006,11.9343957,small,Hövägen 23,ÄLVÄNGEN
166,Öckerö IF,57.64303391562501,11.938094703125,medium,Norgårdsvägen 89,ÖCKERÖ
167,Öjersjö IF,57.628851866666665,11.960074396296296,small,Tallmossevägen 9,ÖJERSJÖ
168,Örgryte IS Fotboll,57.817867033333336,11.884779833333337,small,Korndalsvägen 2,Göteborg
169,Ösets BK,57.6871967,11.9185271,small,Svanebäcksgatan 16,GÖTEBORG
